['isotopologue.name', 'exomol_ID', 'wavenumber', 'K_mu', 'upper.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega', 'lower.energy', 'degeneracy', 'J', 'Tparity', 'Rparity', 'state', 'v', 'Lambda', 'Sigma', 'Omega']
['27Al16O', '634 - 433', 52.477037, 35.440263138332426, 12008.419834, 4.0, 1.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5, 11955.942796, 4.0, 1.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '7430 - 6829', 52.628764, 42.039178423419806, 11401.647215, 38.0, 18.5, '-', 'f', 'A2PI', 0, -1, -0.5, -1.5, 11349.018451, 36.0, 17.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '4434 - 4633', 52.636187, 31.85774075922346, 12078.7012, 24.0, 11.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 12026.065013, 24.0, 11.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '7430 - 7229', 52.712375, 41.99108843037322, 11401.647215, 38.0, 18.5, '-', 'f', 'A2PI', 0, -1, -0.5, -1.5, 11348.93484, 38.0, 18.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5]
['27Al16O', '4220 - 4019', 52.74569, -24.83785878997998, 8761.507672, 22.0, 10.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5, 8708.761982, 22.0, 10.5, '+', 'e', 'A2PI', 0, 1, -0.5, 0.5]
['27Al16O', '3220 - 3019', 52.887657, -17.731925617350626, 8731.775564, 18.0, 8.5, '+', 'e', 'X2Sigma+', 0, 0, 0.5, 0.5, 8678.887908, 16.0, 7.5, '-', 'e', 'A2PI', 0, -1, 0.5, -0.5]
['27Al16O', '4030 - 4229', 52.975823, 42.39216821605565, 11283.180597, 22.0, 10.5, '+', 'e', 'A2PI', 0, 1, 0.5, 1.5, 11230.204774, 22.0, 10.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '4434 - 4233', 53.032648, 30.326413269048842, 12078.7012, 24.0, 11.5, '+', 'f', 'A2PI', 0, 1, -0.5, 0.5, 12025.668552, 22.0, 10.5, '-', 'f', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '4030 - 4629', 53.036426, 42.290745609441686, 11283.180597, 22.0, 10.5, '+', 'e', 'A2PI', 0, 1, 0.5, 1.5, 11230.144171, 24.0, 11.5, '-', 'e', 'X2Sigma+', 0, 0, -0.5, -0.5]
['27Al16O', '2820 - 2619', 53.101505, -25.475549139333083, 8727.852479, 16.0, 7.5, '+', 'f', 'X2Sigma+', 0, 0, 0.5, 0.5, 8674.750974, 14.0, 6.5, '-', 'f', 'A2PI', 0, -1, 0.5, -0.5]
